variable,qv,sig
X1,0.446846660052193,3.53267415320602e-10
X2,0.521649411035789,3.44812622898871e-10
X3,0.0775923400683921,2.3479274080529e-10
X4,0.314170438023508,9.1125218482091e-10
X5,0.484841753607439,2.50919285349482e-11
X6,0.081877050126626,6.20052120758885e-10
X7,0.565218720421208,4.62998306360873e-10
X8,0.0271001882087983,7.24282633868256e-10
X9,0.429101279657863,8.44416092604661e-10
X10,0.274722132215506,9.65127977536895e-11
X11,0.0699794081758722,4.26888857596452e-10
X12,0.131616892513752,1.588567055677e-10
X13,0.131649544450514,3.09970715761665e-10
X14,0.105698584646191,6.43136210953799e-10
