variable,qv,sig
X1,0.0246777665809778,5.94294613520674e-10
X2,0.0482132488189211,6.66620314504485e-10
X3,0.166608967870288,2.10950812373767e-10
X4,0.111034406658861,3.99865585087866e-10
X5,0.0554788715234067,6.02162875118495e-10
X6,0.331957614659989,1.48253742615623e-10
X7,0.370604524919715,1.31184507701221e-10
X8,0.114007946100873,3.9817504848827e-10
X9,0.146157436673325,5.06113040366074e-10
X10,0.127096913251061,7.32358951260892e-10
X11,0.0227496275976296,2.74719469395279e-10
X12,0.0438664704523078,1.7235557425721e-10
X13,0.0744233915793162,6.3904526115266e-10
X14,0.0501511735186797,3.25668048084538e-10
