var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,
1,X1,X2,0.0246777665809778,0.0482132488189211,0.0774207164142099,"Enhance, nonlinear",x1,0.0246777665809778,,,,,,,,,,,,,
2,X1,X3,0.0246777665809778,0.166608967870288,0.215393905214327,"Enhance, nonlinear",x2,0.0774207164142099,0.0482132488189211,,,,,,,,,,,,
3,X1,X4,0.0246777665809778,0.111034406658861,0.164814504873232,"Enhance, nonlinear",x3,0.215393905214327,0.221306571194095,0.166608967870288,,,,,,,,,,,
4,X1,X5,0.0246777665809778,0.0554788715234067,0.0881872570050453,"Enhance, nonlinear",x4,0.164814504873232,0.178825173606431,0.206054596188853,0.111034406658861,,,,,,,,,,
5,X1,X6,0.0246777665809778,0.331957614659989,0.414586341866407,"Enhance, nonlinear",x5,0.0881872570050453,0.0906981168184698,0.192783995432923,0.153467115739478,0.0554788715234067,,,,,,,,,
6,X1,X7,0.0246777665809778,0.370604524919715,0.408459930264083,"Enhance, nonlinear",x6,0.414586341866407,0.408806821161561,0.450509232259036,0.422996701548352,0.379588761712977,0.331957614659989,,,,,,,,
7,X1,X8,0.0246777665809778,0.114007946100873,0.134603306175062,"Enhance, bi-",x7,0.408459930264083,0.401437856286799,0.505524628838488,0.48055306664708,0.397550481976065,0.427347775722374,0.370604524919715,,,,,,,
8,X1,X9,0.0246777665809778,0.146157436673325,0.159926101215159,"Enhance, bi-",x8,0.134603306175062,0.1415744924276,0.238902102310694,0.192097653653832,0.149106283612971,0.346514436533314,0.387140922811832,0.114007946100873,,,,,,
9,X1,X10,0.0246777665809778,0.127096913251061,0.144344123856191,"Enhance, bi-",x9,0.159926101215159,0.164989462868468,0.273565765057812,0.230901974485829,0.168327408431769,0.38655617641165,0.392705166292576,0.168697787004534,0.146157436673325,,,,,
10,X1,X11,0.0246777665809778,0.0227496275976296,0.0459066729339203,"Enhance, bi-",x10,0.144344123856191,0.143580525602136,0.211009650598568,0.179610948031415,0.148371030085824,0.406182178257965,0.413560028693299,0.170218995755762,0.192027114188502,0.127096913251061,,,,
11,X1,X12,0.0246777665809778,0.0438664704523078,0.0635103433193926,"Enhance, bi-",x11,0.0459066729339203,0.0635573963261731,0.179247272333792,0.126109434166901,0.0711390158299936,0.340503380009802,0.377024810912595,0.121930456598785,0.153183277577969,0.130654024838652,0.0227496275976296,,,
12,X1,X13,0.0246777665809778,0.0744233915793162,0.0960361182648716,"Enhance, bi-",x12,0.0635103433193926,0.0805153553456124,0.199193048357272,0.149697089645473,0.0877919817370464,0.339451172076339,0.376666377779196,0.12098581701991,0.153015006138607,0.14597428633234,0.0667469737592103,0.0438664704523078,,
13,X1,X14,0.0246777665809778,0.0501511735186797,0.0810841031930387,"Enhance, nonlinear",x13,0.0960361182648716,0.104753476825567,0.216449661076561,0.166892312406201,0.112204725207219,0.348503404214282,0.381407187103185,0.126759094908498,0.157968253739495,0.154649015430558,0.0823529192169176,0.0936090651263856,0.0744233915793162,
